OldName;NewName
OBLIGATORIO_FAD;ESOBLIGATORIO_FAD
CODIGO_FAMILIA_FCI;CODIGO_FAM_FCI
ID_VA_BASICO_FCI;ID_VA_ATB_FCI
CLAVE_INFO_FCI;CLAVE_FCI
OBLIGATORIO_FCI;ESOBLIGATORIO_FCI
CODIGO_FORMAPAGO;CODIGO_FP
ACTIVO_FORMAPAGO;ESACTIVO_FORMA_PAGO_FP
ORDEN_FORMAPAGO;ORDEN_FORMA_PAGO_FP
DESCRIPCION_FORMAPAGO;DESCRIPCION_FORMA_PAGO_FP
N_PLAZOS_FORMAPAGO;N_PLAZOS_FORMA_PAGO_FP
N_DIAS_ENTRE_PLAZOS_FORMAPAGO;N_DIAS_ENTRE_PLAZOS_FORMA_PAGO_FP
PORCEN_ANTICIPO_FORMAPAGO;PORCENTAJE_ANTICIPO_FORMA_PAGO_FP
ESVERBANCOEMPRESA_FORMAPAGO;ESVERBANCOEMPRESA_FORMA_PAGO_FP
ESCONTADO_FORMAPAGO;ESCONTADO_FORMA_PAGO_FP
ESDEFAULT_FORMAPAGO;ESDEFAULT_FORMA_PAGO_FP
CODIGO_GENERADORPROCESO;CODIGO_GENERADOR_PROCESO_GP
NOMBRE_GENERADORPROCESO;NOMBRE_GENERADOR_PROCESO_GP
PROCESO_GENERADORPROCESO;PROCESO_GENERADOR_PROCESO_GP
CODIGO_EMPRESA_INVENTARIO;CODIGO_EMP_INV
CODIGO_ALMACEN_INVENTARIO;CODIGO_ALM_INV
SERIE_INVENTARIO;SERIE_INV
NRO_INVENTARIO;NUMERO_INV
TIPO_DOC_INVENTARIO;TIPO_DOC_INV
FECHA_INVENTARIO;FECHA_INV
ESTADO_INVENTARIO;ESTADO_INV
DESCRIPCION_INVENTARIO;DESCRIPCION_INV
OBSERVACIONES_INVENTARIO;OBSERVACIONES_INV
TOTAL_UNIDADES_DIFERENCIA_INVENTARIO;TOTAL_UNIDADES_DIFERENCIA_INV
TOTAL_EUROS_DIFERENCIA_INVENTARIO;TOTAL_EUROS_DIFERENCIA_INV
CODIGO_EMPRESA_INVENTARIO_LINEA;CODIGO_EMP_INVLIN
CODIGO_ALMACEN_INVENTARIO_LINEA;CODIGO_ALM_INVLIN
SERIE_INVENTARIO_LINEA;SERIE_INV_INVLIN
NRO_INVENTARIO_LINEA;NUMERO_INV_INVLIN
LINEA_INVENTARIO_LINEA;LINEA_INVLIN
CODIGO_ARTICULO_INVENTARIO_LINEA;CODIGO_ART_INVLIN
CODIGO_UNIDAD_INVENTARIO_LINEA;CODIGO_UNIDAD_INVLIN
LOTE_INVENTARIO_LINEA;LOTE_INVLIN
FECHA_CADUCIDAD_INVENTARIO_LINEA;FECHA_CADUCIDAD_INVLIN
DESCRIPCION_ARTICULO_INVENTARIO_LINEA;DESCRIPCION_ARTICULO_INVLIN
CANTIDAD_TEORICA_INVENTARIO_LINEA;CANTIDAD_TEORICA_INVLIN
CANTIDAD_FISICA_INVENTARIO_LINEA;CANTIDAD_FISICA_INVLIN
CANTIDAD_DIFERENCIA_INVENTARIO_LINEA;CANTIDAD_DIFERENCIA_INVLIN
PRECIO_MEDIO_INVENTARIO_LINEA;PRECIO_MEDIO_INVLIN
PRECIO_MEDIO_NUEVO_INVENTARIO_LINEA;PRECIO_MEDIO_NUEVO_INVLIN
TOTAL_COSTE_DIFERENCIA_LINEA;TOTAL_COSTE_DIFERENCIA_INVLIN
FECHA_RECUENTO_INVENTARIO_LINEA;FECHA_RECUENTO_INVLIN
PORCENEXENTO_IVA;PORCENTAJE_EXENTO_IVA
